Word	Definition
anggaran	budget
bank	bank
akun	account
nota	bill, receipt
jual	sell
beli	buy
berkerja	work
bisnis	business
cakap	competitent
diperpanjang	extended
guru	teacher
kantor	office
kerja	work
kertamu	paper
ketik	type
keuangan	finance
kolega	colleague
kontrak	contract
kursi panas	important place, hot seat
laporan	report
mata-mata	spy
memimpin	lead
mempelajari	study, investigate
pegawai	employee
pekir	think
pemasukan	income
pengeluaran	expenses
hal	subject, matter
pembeli	buyer
pendapatan	income
peneliti	researcher
pengacara	lawyer
penjual	seller
pimpinan	boss, team leader
posisi	position, rank
produk	product
profesi	profession
rancananya	the plan
rapat	meeting
recanakan	plan
rekan	colleague
rencana	plan
resmi	formal, official
sibuk	busy
teman kerja	colleague
tuan	sir
tujuan	objective, purpose, goal
uang	money
untung	profit
